lambda,nll,brier,ece,accuracy,macro_f1,balanced_accuracy,weighted_f1,macro_precision,macro_recall,tail20_f1,delta_nll,delta_brier,delta_ece,delta_accuracy,delta_macro_f1,delta_balanced_accuracy,delta_tail20_f1,passes_nonzero_gate
-0.3,2.7619309425354004,0.7849438923586671,0.035529119393681546,0.3539877300613497,0.19994589344765972,0.19714637340219876,0.32377485776878983,0.22818299993389874,0.19714637340219876,0.10807936650843008,0.021563053131103516,0.002621227187026283,0.002363825624749558,-0.0024539877300613394,0.006221425507282385,0.003363558648549625,0.002183110717437449,False
-0.2,2.7511134147644043,0.7837473618442854,0.03434804613534311,0.3541922290388548,0.19628378999333906,0.19489089910488854,0.32629569824066773,0.2245686777669084,0.19489089910488854,0.1031705243341723,0.010745525360107422,0.0014246966726445962,0.0011827523664111202,-0.002249488752556256,0.0025593220529617204,0.0011080843512393982,-0.002725731456820331,False
-0.15,2.7470779418945312,0.7832686716019215,0.03685866992295399,0.3556237218813906,0.19581961556451313,0.1948107479730016,0.3283557696508844,0.2237686072843986,0.1948107479730016,0.10392930346168858,0.006710052490234375,0.0009460064302806621,0.0036933761540220013,-0.0008179959100204076,0.00209514762413579,0.001027933219352467,-0.001966952329304048,False
-0.1,2.7439489364624023,0.7828709892596364,0.034915207257862565,0.35664621676891617,0.19628812618239544,0.19538858352035225,0.3298292432793875,0.22400521855820752,0.19538858352035225,0.10939626367722664,0.0035810470581054688,0.000548324087995555,0.0017499134889305773,0.0002044989775051287,0.0025636582420180974,0.001605768766703114,0.0035000078862340053,False
-0.05,2.741716146469116,0.7825546554981124,0.03377816342960106,0.3572597137014315,0.19490055879898846,0.19412086409852683,0.33119392010047516,0.21996836677372034,0.19412086409852683,0.11264089516721096,0.001348257064819336,0.00023199032647158724,0.0006128696606690701,0.0008179959100204637,0.0011760908586111174,0.0003380493448776889,0.006744639376218331,True
-0.025,2.7409324645996094,0.7824276973290572,0.03308732072829862,0.35664621676891617,0.19419469707716187,0.1938606687438086,0.3304925860576924,0.21880643111658882,0.1938606687438086,0.10635617902748995,0.0005645751953125,0.00010503215741640765,-7.797304063336853e-05,0.0002044989775051287,0.0004702291367845308,7.785399015946105e-05,0.00045992323649731975,True
0.0,2.740367889404297,0.7823226651716408,0.03316529376893199,0.35644171779141104,0.19372446794037734,0.19378281475364914,0.329638403602984,0.21791257384133508,0.19378281475364914,0.10589625579099263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.025,2.740020513534546,0.7822382780742086,0.0343241070429019,0.35807770961145197,0.19410033889820346,0.19450883182949517,0.3310128137271281,0.21797111642077184,0.19450883182949517,0.10589625579099263,-0.00034737586975097656,-8.438709743217365e-05,0.001158813273969909,0.0016359918200409292,0.00037587095782611916,0.0007260170758460254,0.0,False
0.05,2.739889144897461,0.7821754983552756,0.03413820156403084,0.35807770961145197,0.19264385808200533,0.19340867239442497,0.3292060816281427,0.2164014861957862,0.19340867239442497,0.10589625579099263,-0.0004787445068359375,-0.00014716681636525448,0.0009729077950988496,0.0016359918200409292,-0.0010806098583720147,-0.0003741423592241678,0.0,False
0.1,2.740264654159546,0.782114020745743,0.03290816846237655,0.3576687116564417,0.19282943299033606,0.1932216143265147,0.32947127027918643,0.21616235307045002,0.1932216143265147,0.10510682365268009,-0.00010323524475097656,-0.00020864442589780785,-0.0002571253065554407,0.001226993865030659,-0.0008950349500412806,-0.0005612004271344442,-0.0007894321383125431,False
0.15,2.741476535797119,0.7821377275001077,0.030776025986178164,0.3570552147239264,0.19033889021602237,0.1913655134289778,0.32716365017899295,0.21233800813780544,0.1913655134289778,0.10128637784356362,0.0011086463928222656,-0.00018493767153307795,-0.002389267782753827,0.0006134969325153302,-0.003385577724354968,-0.002417301324671342,-0.00460987794742901,False
0.2,2.7435078620910645,0.7822474531500329,0.029427132188844543,0.3556237218813906,0.1877127998593343,0.18901312041936958,0.32381281343263663,0.20859040813703215,0.18901312041936958,0.10311425406519643,0.003139972686767578,-7.521202160787333e-05,-0.003738161580087447,-0.0008179959100204076,-0.00601166808104304,-0.00476969433427956,-0.002782001725796201,False
0.3,2.7499489784240723,0.7827266014983562,0.02740731476417323,0.35603271983640083,0.18636221843265968,0.1878543370389748,0.32253569592471684,0.20765130430693074,0.1878543370389748,0.1050355167336355,0.00958108901977539,0.0004039363267153742,-0.005757979004758759,-0.00040899795501020443,-0.007362249507717659,-0.005928477714674341,-0.0008607390573571259,False
