split,mode,S,seed_prefix,nll,brier,ece,accuracy,macro_f1,balanced_accuracy,weighted_f1,macro_precision,macro_recall,tail20_f1,seed
cal,single,1,42,2.821021556854248,0.7917611031580242,0.05809116276525768,0.35480572597137017,0.19463389503142334,0.19409939357788272,0.3292164989953407,0.2200092597243323,0.19409939357788272,0.10176597911892031,42.0
cal,single,1,123,2.8461833000183105,0.7946073575170416,0.06127454062622872,0.35010224948875257,0.18769289751584964,0.188281852332026,0.32213517443952,0.22065620548493264,0.188281852332026,0.09423971788445472,123.0
cal,single,1,456,2.8265151977539062,0.7927676331995086,0.05671133823342363,0.3505112474437628,0.18662893428154537,0.1880194223644252,0.32484735428549116,0.21236236311204681,0.1880194223644252,0.09189383715699506,456.0
cal,single,1,789,2.8230159282684326,0.7932365876352461,0.060218929552714996,0.3539877300613497,0.191052365327572,0.19274944462964924,0.3286158913237718,0.21005693446747611,0.19274944462964924,0.08949453324453324,789.0
cal,single,1,2026,2.8589255809783936,0.7964790767682682,0.06907171510647532,0.35276073619631904,0.18845845459550464,0.18955477889767006,0.3249245947231618,0.21244536171789022,0.18955477889767006,0.08819020962983812,2026.0
cal,soft_vote,2,42-123,2.8043081760406494,0.7894403360259138,0.06461226847517952,0.35501022494887524,0.1942547455196958,0.19481248677915208,0.3284647205993162,0.22386275024139413,0.19481248677915208,0.10102312719959779,
cal,coherent_logit,2,42-123,2.804868698120117,0.7896507840962753,0.0641963413377542,0.3562372188139059,0.1933734395050482,0.19340719054808717,0.32945830886356814,0.21728288798967324,0.19340719054808717,0.09921354952237306,
cal,soft_vote,3,42-123-456,2.794271230697632,0.7882613775529991,0.06615896181094866,0.35664621676891617,0.19367110387754205,0.194958714481848,0.3297855807443851,0.22006028083757898,0.194958714481848,0.10186238598003303,
cal,coherent_logit,3,42-123-456,2.7937097549438477,0.7882641366351312,0.06247200463995612,0.3558282208588957,0.19061679307771534,0.19232602486035874,0.32845778886033533,0.21203292075033947,0.19232602486035874,0.1006665655465965,
cal,soft_vote,5,42-123-456-789-2026,2.7911059856414795,0.788020128957066,0.06429796368112226,0.35746421267893663,0.19449637473114176,0.19636162450997663,0.3304207089397711,0.21381165998890345,0.19636162450997663,0.10524014336917561,
cal,coherent_logit,5,42-123-456-789-2026,2.7911226749420166,0.788058243797644,0.06240723927968119,0.35603271983640083,0.192839567750495,0.1927968998385024,0.3292400046486298,0.21767911231013115,0.1927968998385024,0.10589625579099263,
test,soft_vote,5,42-123-456-789-2026,2.797028064727783,0.7830012565528577,0.06460011684029136,0.36226993865030677,0.20606033209756158,0.20343934370568392,0.33682527509015864,0.23819647289298815,0.20343934370568392,0.11827859704360022,
test,coherent_logit,5,42-123-456-789-2026,2.8049070835113525,0.7831638176922966,0.060576617767261094,0.3621676891615542,0.20592893268833737,0.20230123852728887,0.33659803773509084,0.25121981895752216,0.20230123852728887,0.11643685984879495,
